"PRICE","SQUARE.FEET","LOT.SIZE","BEDS","BATHS","AGE","ADDRESS","CITY","ZIP.OR.POSTAL.CODE","SOLD.DATE"
2200000,1275,7354,2,2,82,"153 S Kenter Ave","Los Angeles",90049,"March-2-2022"
2100000,2189,7427,3,3,92,"1902 Parnell Ave","Los Angeles",90025,"March-31-2022"
3962000,1756,6001,2,1,98,"344 Entrada Dr","Santa Monica",90402,""
4351200,2657,4164,4,3.5,97,"1053 17th St","Santa Monica",90403,"June-30-2022"
3573000,2116,7816,3,2,73,"151 S Westgate Ave","Los Angeles",90049,"June-30-2022"
1900000,1914,6346,3,2,97,"2232 Linnington Ave","Los Angeles",90064,"February-25-2022"
2050000,879,7502,3,1,97,"11973 Dorothy St","Los Angeles",90049,"March-11-2022"
2516500,2290,6489,3,3,85,"2307 Malcolm Ave","Los Angeles",90064,"March-11-2022"
3123500,2805,6877,4,3.5,93,"10360 Keswick Ave","Los Angeles",90064,"July-28-2022"
2331000,2163,7006,4,3,65,"14511 W Sunset Blvd","Pacific Palisades",90272,"March-23-2022"
3995000,1993,6692,2,2,82,"310 N Skyewiay Rd","Los Angeles",90049,""
2400000,2148,7564,3,2,74,"3308 Butler Ave","Los Angeles",90066,"April-29-2022"
3575000,2111,12014,3,4,70,"1075 Ravoli Dr","Pacific Palisades",90272,""
4830000,2582,17992,4,5,71,"13765 W Sunset Blvd","Pacific Palisades",90272,"February-28-2022"
1750000,1387,5288,2,2,83,"11326 Albata St","Los Angeles",90049,"February-18-2022"
2720000,2419,6241,4,3,4,"3943 Bledsoe Ave","Los Angeles",90066,"April-8-2022"
3850000,2191,12743,4,3,81,"247 N Kenter Ave","Los Angeles",90049,"June-30-2022"
8300500,2841,10230,3,4,76,"215 N Kenter Ave","Los Angeles",90049,""
2365000,1922,6275,4,2.5,86,"531 Beloit Ave","Los Angeles",90049,"July-13-2022"
3752000,1848,9530,2,2,86,"300 S Carmelina Ave","Los Angeles",90049,"August-3-2022"
2575000,1278,6765,2,1,95,"2255 22nd St","Santa Monica",90405,"July-22-2022"
4135000,1441,7493,4,2,102,"314 Euclid St","Santa Monica",90402,"May-11-2022"
4380000,2716,7119,4,2.5,59,"308 14th St","Santa Monica",90402,"April-28-2022"
3025000,2574,10390,3,2,86,"10348 Eastborne Ave","Los Angeles",90025,""
2250000,2587,5003,3,4,89,"11326 Burnham St","Los Angeles",90049,"March-1-2022"
2635000,2438,5071,3,3.5,94,"1514 Ensley Ave","Los Angeles",90024,"March-31-2022"
1300000,1898,8633,3,2,129,"4118 Huntley Ave","Culver City",90230,"June-13-2022"
1310000,1152,4802,3,2,84,"4132 Huntley Ave","Culver City",90230,"July-22-2022"
