"Team","G","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season"
"Denver Nuggets*",82,3610,7279,958,2560,2652,4719,1240,1628,881,2763,3644,2415,585,457,1036,1489,9418,"2023-2024"
"Philadelphia 76ers*",82,3404,7331,992,2733,2412,4598,1597,1934,906,2616,3522,2041,694,492,984,1668,9397,"2023-2024"
"Houston Rockets",82,3425,7459,1043,2964,2382,4495,1482,1916,940,2787,3727,2035,639,375,1045,1702,9375,"2023-2024"
"Washington Wizards",82,3523,7493,1015,2915,2508,4578,1266,1657,755,2613,3368,2288,623,415,1147,1637,9327,"2023-2024"
"Minnesota Timberwolves*",82,3383,6974,1037,2681,2346,4293,1461,1881,770,2807,3577,2184,647,497,1162,1544,9264,"2023-2024"
"New York Knicks*",82,3385,7272,1083,2936,2302,4336,1396,1789,1039,2665,3704,1998,612,336,1085,1447,9249,"2023-2024"
"Cleveland Cavaliers*",82,3425,7148,1108,3016,2317,4132,1278,1671,807,2742,3549,2299,605,380,1112,1436,9236,"2023-2024"
"Toronto Raptors",82,3466,7356,942,2712,2524,4644,1339,1772,891,2607,3498,2335,634,388,1147,1509,9213,"2023-2024"
"Chicago Bulls",82,3448,7339,941,2630,2507,4709,1369,1731,916,2677,3593,2048,638,394,1004,1541,9206,"2023-2024"
"San Antonio Spurs",82,3438,7436,1036,2983,2402,4453,1280,1637,849,2778,3627,2449,584,520,1242,1414,9192,"2023-2024"
"Orlando Magic*",82,3318,6964,903,2568,2415,4396,1519,2002,861,2608,3469,2023,669,423,1206,1618,9058,"2023-2024"
"Brooklyn Nets",82,3334,7307,1089,3010,2245,4297,1293,1711,938,2675,3613,2102,556,424,1076,1516,9050,"2023-2024"
"Miami Heat*",82,3266,7022,1022,2765,2244,4257,1478,1806,766,2702,3468,2116,617,280,1038,1415,9032,"2023-2024"
"Detroit Pistons",82,3353,7236,906,2602,2447,4634,1398,1780,861,2692,3553,2088,531,384,1248,1688,9010,"2023-2024"
"Charlotte Hornets",82,3281,7133,989,2788,2292,4345,1189,1512,765,2538,3303,2033,562,371,1129,1472,8740,"2023-2024"
"Portland Trail Blazers",82,3227,7356,939,2723,2288,4633,1329,1680,1036,2469,3505,1894,627,354,1249,1654,8722,"2023-2024"
"Memphis Grizzlies",82,3145,7230,1071,3097,2074,4133,1316,1722,896,2598,3494,2025,673,501,1236,1563,8677,"2023-2024"
"Cleveland Cavaliers*",82,3652,7444,1303,3401,2349,4043,1392,1793,917,2806,3723,2304,670,350,1082,1487,9999,"2024-2025"
"Memphis Grizzlies*",82,3670,7654,1141,3106,2529,4548,1499,1908,1056,2819,3875,2330,726,462,1285,1711,9980,"2024-2025"
"Denver Nuggets*",82,3724,7360,984,2619,2740,4741,1470,1909,919,2832,3751,2542,656,402,1169,1444,9902,"2024-2025"
"Oklahoma City Thunder*",82,3660,7600,1192,3184,2468,4416,1369,1672,871,2801,3672,2202,847,465,961,1631,9881,"2024-2025"
"Atlanta Hawks",82,3556,7528,1107,3089,2449,4439,1472,1900,974,2675,3649,2426,798,419,1273,1564,9691,"2024-2025"
"Chicago Bulls",82,3543,7545,1266,3447,2277,4098,1308,1617,825,2935,3760,2383,621,386,1203,1444,9660,"2024-2025"
"Indiana Pacers*",82,3574,7326,1081,2934,2493,4392,1395,1768,752,2678,3430,2398,694,448,1082,1533,9624,"2024-2025"
"Boston Celtics*",82,3413,7382,1457,3955,1956,3427,1251,1565,933,2783,3716,2144,589,452,973,1303,9534,"2024-2025"
"New York Knicks*",82,3553,7315,1031,2794,2522,4521,1357,1696,890,2607,3497,2254,671,324,1088,1407,9494,"2024-2025"
"Sacramento Kings",82,3529,7385,1032,2887,2497,4498,1400,1738,901,2723,3624,2169,620,357,1092,1548,9490,"2024-2025"
"Milwaukee Bucks*",82,3445,7082,1161,3003,2284,4079,1421,1895,674,2882,3556,2090,601,384,1097,1469,9472,"2024-2025"
"Detroit Pistons*",82,3503,7363,1051,2901,2452,4462,1414,1826,931,2739,3670,2165,652,431,1219,1695,9471,"2024-2025"
"Minnesota Timberwolves*",82,3364,7182,1233,3269,2131,3913,1411,1789,908,2726,3634,2142,654,406,1186,1498,9372,"2024-2025"
"Houston Rockets*",82,3484,7659,1038,2938,2446,4721,1366,1851,1200,2774,3974,1914,689,411,1139,1557,9372,"2024-2025"
"Dallas Mavericks",82,3443,7194,1020,2801,2423,4393,1458,1894,828,2702,3530,2070,636,445,1151,1458,9364,"2024-2025"
"San Antonio Spurs",82,3426,7362,1158,3246,2268,4116,1332,1721,896,2685,3581,2348,674,455,1138,1363,9342,"2024-2025"
"Golden State Warriors*",82,3342,7412,1264,3475,2078,3937,1383,1811,1029,2692,3721,2386,771,391,1152,1571,9331,"2024-2025"
"Phoenix Suns",82,3381,7075,1176,3112,2205,3963,1379,1702,783,2701,3484,2277,593,392,1153,1471,9317,"2024-2025"
"Los Angeles Lakers*",82,3356,7007,1092,2981,2264,4026,1494,1902,792,2687,3479,2131,633,367,1145,1415,9298,"2024-2025"
"Los Angeles Clippers*",82,3409,7075,1022,2738,2387,4337,1416,1776,841,2750,3591,2064,773,370,1220,1503,9256,"2024-2025"
"Utah Jazz",82,3305,7272,1144,3267,2161,4005,1421,1836,983,2741,3724,2093,555,360,1412,1549,9175,"2024-2025"
"Portland Trail Blazers",82,3325,7396,1057,3095,2268,4301,1386,1820,1095,2576,3671,1952,678,433,1309,1558,9093,"2024-2025"
"Toronto Raptors",82,3414,7462,969,2786,2445,4676,1294,1729,1034,2666,3700,2340,664,348,1257,1738,9091,"2024-2025"
"Miami Heat*",82,3318,7138,1124,3060,2194,4078,1309,1654,798,2760,3558,2166,668,314,1114,1275,9069,"2024-2025"
"New Orleans Pelicans",82,3332,7368,986,2839,2346,4529,1356,1799,993,2583,3576,2119,701,429,1201,1499,9006,"2024-2025"
"Philadelphia 76ers",82,3254,7168,1041,3050,2213,4118,1439,1844,852,2411,3263,1901,752,366,1117,1556,8988,"2024-2025"
"Washington Wizards",82,3233,7371,1075,3210,2158,4161,1315,1690,867,2716,3583,2058,623,420,1276,1618,8856,"2024-2025"
"Orlando Magic*",82,3130,7034,921,2892,2209,4142,1464,1890,914,2517,3431,1887,729,488,1165,1648,8645,"2024-2025"
"Brooklyn Nets",82,3086,7060,1113,3232,1973,3828,1334,1696,894,2493,3387,2063,639,352,1244,1698,8619,"2024-2025"
"Charlotte Hornets",82,3142,7308,1065,3143,2077,4165,1269,1621,1003,2703,3706,1994,607,368,1271,1535,8618,"2024-2025"
