Player,Age,Team,Pos,FGA,X3PA,X2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Ajay Mitchell,22,OKC,SG,184,60,124,35,18,50,68,64,25,4,29,68,234,3000000
Andre Jackson Jr.,23,MIL,SG,197,76,121,24,65,117,182,83,34,14,58,114,230,2221677
Cody Williams,20,UTA,SG,257,135,122,40,27,86,113,59,23,16,44,95,230,5742480
Reed Sheppard,20,HOU,PG,239,142,97,16,16,62,78,75,35,17,37,53,229,10603560
Gui Santos,22,GSW,PF,179,103,76,42,72,100,172,80,25,10,42,91,227,2221677
Steven Adams,31,HOU,C,167,2,165,93,166,161,327,66,22,28,54,60,225,14130434
AJ Johnson,20,2TM,SG,213,90,123,37,8,51,59,76,12,3,35,50,220,3090480
Rob Dillingham,20,MIN,PG,211,74,137,15,12,38,50,98,20,1,53,37,219,6576120
Blake Wesley,21,SAS,SG,186,58,128,61,17,44,61,114,37,6,54,46,217,7022602
Pat Connaughton,32,MIL,SG,177,81,96,31,19,90,109,70,9,11,24,45,216,9423869
GG Jackson II,20,MEM,PF,199,95,104,40,27,65,92,29,12,5,31,30,209,2221677
Herbert Jones,26,NOP,SF,172,72,100,40,22,56,78,65,37,9,35,66,205,13937574
Larry Nance Jr.,32,ATL,PF,155,76,79,13,23,80,103,38,20,13,16,37,203,2296274
Olivier-Maxence Prosper,22,DAL,PF,174,51,123,76,44,82,126,40,26,6,14,28,201,1002360
Jock Landale,29,HOU,C,152,26,126,40,56,81,137,37,13,10,21,49,200,10296274
Jalen Pickett,25,DEN,SG,180,101,79,8,15,56,71,107,19,5,24,38,200,2221677
Mouhamed Gueye,22,ATL,PF,171,81,90,42,44,95,139,27,28,33,15,55,197,2221677
Collin Gillespie,25,PHO,PG,158,90,68,22,22,56,78,78,21,5,17,30,194,2296274
Duop Reath,28,POR,C,166,106,60,22,44,48,92,26,12,14,16,41,194,2221677
Craig Porter Jr.,24,CLE,PG,140,48,92,32,19,48,67,71,17,15,38,25,188,2221677
Jae'Sean Tate,29,HOU,SF,148,46,102,47,50,67,117,47,26,7,22,82,188,2296274
Zeke Nnaji,24,DEN,PF,141,52,89,44,33,57,90,23,25,38,14,62,184,8177778
Paul Reed,25,DET,C,142,28,114,42,40,83,123,44,39,25,26,75,184,5335894
Tre Mann,23,CHO,PG,161,60,101,21,12,26,38,39,7,4,25,24,183,8000000
Vince Williams Jr.,24,MEM,SG,167,95,72,24,22,76,98,55,12,7,33,45,179,2301587
Dante Exum,29,DAL,PG,134,53,81,31,4,29,33,56,12,3,22,34,174,2296274
Jeff Green,38,HOU,PF,121,79,42,26,11,47,58,20,6,4,9,32,172,2296274
Jaylon Tyson,22,CLE,SG,149,58,91,24,37,59,96,44,13,3,26,50,167,3492480
Grant Williams,26,CHO,PF,123,74,49,37,18,64,82,37,18,13,28,46,166,13645500
Jaylen Clark,23,MIN,SG,120,51,69,37,26,27,53,26,36,2,8,61,163,2191897
Jordan Goodwin,26,LAL,PG,144,68,76,11,38,74,112,42,30,11,26,43,161,2349578
Rayan Rupert,20,POR,SG,142,59,83,30,26,44,70,25,16,4,30,37,155,2221677
Jevon Carter,29,CHI,PG,146,105,41,10,4,35,39,40,13,3,11,15,153,6809524
Bones Hyland,24,2TM,PG,118,82,36,26,5,20,25,32,18,4,25,29,149,2296274
Doug McDermott,33,SAC,SF,117,101,16,5,3,19,22,7,4,2,6,30,147,2296274
Jarred Vanderbilt,25,LAL,PF,121,32,89,36,68,114,182,41,35,10,29,67,147,11571429
Gary Harris,30,ORL,SG,133,101,32,12,20,44,64,30,26,12,17,45,145,3634153
